Word, Value
no,[[0.43667495]]
th,[[-0.43712187]]
tm,[[-0.43668535]]
aa,[[-0.43688157]]
aah,[[-0.4366791]]
aalii,[[0.43667495]]
aardvark,[[0.43667495]]
aardvarks,[[0.43667495]]
aardwolf,[[0.43666881]]
ab,[[0.43662375]]
aba,[[-0.43667522]]
abaca,[[0.43667209]]
abacas,[[0.43660447]]
abacist,[[0.43667495]]
aback,[[-0.43778861]]
abacus,[[0.43664467]]
abacuses,[[0.43667424]]
abaft,[[-0.43669686]]
abalone,[[0.43666261]]
abalones,[[0.43667459]]
abamp,[[-0.43668348]]
abandon,[[-0.43768668]]
abandoned,[[-0.43846774]]
abandonedly,[[-0.43674648]]
abandoning,[[-0.43674937]]
abandonment,[[-0.43684971]]
abandons,[[-0.43921795]]
abas,[[-0.43669]]
abase,[[-0.43696818]]
abased,[[-0.44181463]]
abasement,[[-0.4372234]]
abases,[[-0.43690208]]
abash,[[-0.43746826]]
abashed,[[-0.43817675]]
abashedly,[[0.43667346]]
abashes,[[-0.4366987]]
abashing,[[0.43645301]]
abashment,[[0.43659547]]
abasing,[[-0.43679267]]
abate,[[0.43655732]]
abated,[[-0.43670562]]
abatement,[[0.43663493]]
abates,[[-0.43682316]]
abating,[[-0.43667808]]
abatis,[[0.4366748]]
abattoir,[[-0.43672821]]
abattoirs,[[0.43667418]]
abaxial,[[0.43667495]]
abb,[[-0.43667623]]
abba,[[0.43664655]]
abbacies,[[-0.43677178]]
abbacy,[[-0.43669468]]
abbatial,[[-0.43790555]]
abbe,[[-0.43859825]]
abbes,[[-0.43667728]]
abbess,[[-0.43803051]]
abbesses,[[-0.4366954]]
abbey,[[-0.43744886]]
abbeys,[[-0.43678448]]
abbot,[[-0.43676877]]
abbots,[[-0.43705651]]
abbr,[[0.43667454]]
abbrev,[[-0.43667519]]
abbreviate,[[-0.43669629]]
abbreviated,[[-0.43670344]]
abbreviates,[[-0.43668464]]
abbreviating,[[-0.43672135]]
abbreviation,[[0.43651542]]
abbreviations,[[0.43650982]]
abbreviator,[[0.43660048]]
abbrevs,[[0.43667495]]
abdicate,[[-0.43691224]]
abdicated,[[-0.44135302]]
abdicates,[[-0.43667787]]
abdicating,[[-0.43697098]]
abdication,[[-0.43786237]]
abdications,[[-0.43685848]]
abdicator,[[-0.43668404]]
abdicators,[[0.43667495]]
abdomen,[[0.43634084]]
abdomens,[[0.43665889]]
abdominal,[[0.43651226]]
abdominally,[[0.4366498]]
abdominous,[[0.4362137]]
abduce,[[0.43646637]]
abduced,[[0.4366439]]
abducent,[[0.43661767]]
abducing,[[0.43665844]]
abduct,[[-0.43692815]]
abducted,[[-0.43694699]]
abducting,[[-0.43670702]]
abduction,[[-0.43669274]]
abductions,[[-0.4369061]]
abductor,[[-0.43691438]]
abductors,[[-0.43667805]]
abducts,[[-0.43668032]]
abeam,[[-0.43683854]]
abecedarian,[[0.43657076]]
abecedarians,[[0.43622416]]
abecedarium,[[0.43666059]]
abecedary,[[-0.43668884]]
abed,[[-0.43787]]
abele,[[-0.43670923]]
abeles,[[-0.43667841]]
abelmosk,[[0.43667495]]
aberrance,[[0.43665391]]
aberrancies,[[-0.43675435]]
aberrancy,[[0.43666872]]
aberrant,[[0.43666577]]
aberration,[[-0.43684378]]
aberrational,[[-0.43669745]]
aberrations,[[0.43610439]]
abessive,[[0.43667495]]
abet,[[-0.43668801]]
abetment,[[-0.43710014]]
abetments,[[0.43667495]]
abets,[[-0.43680775]]
abetted,[[-0.43757209]]
abetter,[[0.43664762]]
abetters,[[0.43642366]]
abetting,[[-0.4367556]]
abettor,[[-0.43737245]]
abettors,[[0.43657738]]
abeyance,[[0.43509725]]
abeyant,[[-0.43667537]]
abhor,[[-0.43823785]]
abhorred,[[-0.44299605]]
abhorrence,[[-0.44704005]]
abhorrent,[[-0.43880287]]
abhorrently,[[0.43655792]]
abhorrer,[[-0.43681639]]
abhorrers,[[-0.43680272]]
abhorring,[[-0.43724096]]
abhors,[[-0.43721393]]
abidance,[[-0.43685892]]
abide,[[-0.43726155]]
abider,[[-0.43668362]]
abides,[[-0.43859744]]
abiding,[[-0.4377785]]
abidingly,[[-0.43671972]]
abies,[[0.43651786]]
abigail,[[-0.43684417]]
abilities,[[0.43613675]]
ability,[[0.43641585]]
abiogenesis,[[0.43641797]]
abiogenetic,[[0.43665749]]
abiotic,[[-0.43667504]]
abject,[[-0.43780324]]
abjection,[[-0.43719247]]
abjectly,[[-0.43786865]]
abjectness,[[-0.43694779]]
abjuration,[[-0.43725231]]
abjurations,[[-0.43872282]]
abjure,[[-0.43724597]]
abjured,[[-0.43670309]]
abjurer,[[0.43663928]]
abjurers,[[-0.43693772]]
abjures,[[-0.43679962]]
abjuring,[[-0.43681797]]
abl,[[0.43667489]]
ablate,[[-0.4368116]]
ablated,[[0.43664959]]
ablating,[[0.43667209]]
ablation,[[0.43667483]]
ablations,[[-0.43667758]]
ablative,[[-0.4366886]]
ablatives,[[0.43660668]]
ablaut,[[-0.43669182]]
ablaze,[[-0.43722916]]
able,[[-0.43744314]]
ablepsia,[[0.43667409]]
abler,[[0.43479478]]
ablest,[[0.43666637]]
abloom,[[-0.43929711]]
ablution,[[0.43643507]]
ablutions,[[0.43604627]]
ably,[[0.4362739]]
abnegate,[[-0.43667614]]
abnegated,[[-0.43676853]]
abnegates,[[0.43667278]]
abnegating,[[-0.43675026]]
abnegation,[[-0.43701628]]
abnormal,[[0.43667233]]
abnormalities,[[0.43666357]]
abnormality,[[0.43665642]]
abnormally,[[-0.43667522]]
abnormity,[[0.43667156]]
aboard,[[-0.43690622]]
abode,[[-0.43771145]]
abodes,[[-0.4366779]]
abolish,[[0.43666279]]
abolished,[[0.43655443]]
abolisher,[[-0.4366776]]
abolishes,[[0.43654388]]
abolishing,[[0.43653348]]
abolishment,[[-0.43669149]]
abolishments,[[0.43667495]]
abolition,[[0.4365719]]
abolitionism,[[0.43662223]]
abolitionist,[[0.43534228]]
abolitionists,[[0.43664953]]
abomasum,[[0.43666875]]
abominable,[[-0.43744475]]
abominably,[[-0.43730071]]
abominate,[[-0.43682107]]
abominated,[[-0.44268724]]
abominates,[[-0.43748868]]
abominating,[[-0.43669197]]
abomination,[[-0.43725449]]
abominations,[[-0.43692201]]
abominator,[[-0.4366926]]
abominators,[[0.43651909]]
aboral,[[-0.43667495]]
aboriginal,[[0.43645421]]
aboriginally,[[-0.43679166]]
aboriginals,[[0.43659526]]
aborigine,[[-0.43668652]]
aborigines,[[0.43391204]]
aborning,[[-0.43672013]]
abort,[[-0.43668586]]
aborted,[[-0.43680176]]
aborticide,[[0.43667436]]
abortifacient,[[0.43667451]]
abortifacients,[[0.43667206]]
aborting,[[-0.43707496]]
abortion,[[-0.43667701]]
abortionist,[[0.43637529]]
abortionists,[[0.43667334]]
abortions,[[-0.4366914]]
abortive,[[-0.4367117]]
abortively,[[-0.43667945]]
aborts,[[0.43666205]]
aboulia,[[0.43650034]]
abound,[[0.43661323]]
abounded,[[0.43657866]]
abounding,[[0.43451825]]
abounds,[[0.43639892]]
aboveboard,[[-0.43771884]]
aboveground,[[-0.43699536]]
