Word, Value
no,[[0.1565315]]
th,[[0.15719794]]
tm,[[-0.15653135]]
aa,[[0.15666792]]
aah,[[0.15653159]]
aalii,[[0.15653864]]
aardvark,[[0.15653151]]
aardvarks,[[-0.15653133]]
aardwolf,[[0.15653227]]
ab,[[0.15660268]]
aba,[[0.1565365]]
abaca,[[-0.15652101]]
abacas,[[0.15654959]]
abacist,[[-0.15652668]]
aback,[[0.15660387]]
abacus,[[0.15653551]]
abacuses,[[0.15653844]]
abaft,[[0.15654564]]
abalone,[[0.15654515]]
abalones,[[0.156532]]
abamp,[[-0.15652394]]
abandon,[[0.15680352]]
abandoned,[[0.15704033]]
abandonedly,[[0.15653481]]
abandoning,[[0.15761213]]
abandonment,[[0.15694819]]
abandons,[[0.15668194]]
abas,[[0.15654676]]
abase,[[0.15654312]]
abased,[[0.15669027]]
abasement,[[0.15744431]]
abases,[[0.15654762]]
abash,[[0.15655243]]
abashed,[[0.15659364]]
abashedly,[[-0.15652424]]
abashes,[[0.15672655]]
abashing,[[0.156719]]
abashment,[[0.1565357]]
abasing,[[0.15654534]]
abate,[[0.15654397]]
abated,[[0.15653335]]
abatement,[[0.15764433]]
abates,[[0.15673693]]
abating,[[0.15653525]]
abatis,[[0.15653437]]
abattoir,[[0.15654799]]
abattoirs,[[0.15653309]]
abaxial,[[0.1565315]]
abb,[[0.15653297]]
abba,[[0.15653972]]
abbacies,[[0.15653187]]
abbacy,[[0.15667233]]
abbatial,[[0.15654497]]
abbe,[[0.15672401]]
abbes,[[0.15653232]]
abbess,[[0.15653157]]
abbesses,[[0.15653323]]
abbey,[[0.15760769]]
abbeys,[[0.15834516]]
abbot,[[0.15661323]]
abbots,[[0.15653603]]
abbr,[[-0.15653066]]
abbrev,[[0.15653238]]
abbreviate,[[0.15659569]]
abbreviated,[[0.15653372]]
abbreviates,[[-0.15642448]]
abbreviating,[[0.15653689]]
abbreviation,[[0.1566231]]
abbreviations,[[0.1565882]]
abbreviator,[[0.15655273]]
abbrevs,[[0.15653241]]
abdicate,[[0.15654761]]
abdicated,[[0.15786229]]
abdicates,[[0.15667903]]
abdicating,[[0.15653247]]
abdication,[[0.15671724]]
abdications,[[0.15653408]]
abdicator,[[-0.15650597]]
abdicators,[[0.15653206]]
abdomen,[[0.15667444]]
abdomens,[[0.15653932]]
abdominal,[[0.1565343]]
abdominally,[[0.15654148]]
abdominous,[[-0.15649568]]
abduce,[[-0.15634671]]
abduced,[[-0.15652521]]
abducent,[[0.15653294]]
abducing,[[-0.15652603]]
abduct,[[0.15660727]]
abducted,[[0.15653309]]
abducting,[[0.15655169]]
abduction,[[0.15667732]]
abductions,[[0.15653591]]
abductor,[[0.15653536]]
abductors,[[0.15658815]]
abducts,[[0.15655729]]
abeam,[[0.1565589]]
abecedarian,[[0.15653203]]
abecedarians,[[0.15654814]]
abecedarium,[[-0.15652511]]
abecedary,[[0.1565329]]
abed,[[0.15656556]]
abele,[[-0.15641579]]
abeles,[[0.15653503]]
abelmosk,[[0.1565315]]
aberrance,[[-0.15646982]]
aberrancies,[[-0.15643699]]
aberrancy,[[0.1565413]]
aberrant,[[0.15653597]]
aberration,[[0.15659446]]
aberrational,[[-0.15653029]]
aberrations,[[0.15668376]]
abessive,[[-0.15652901]]
abet,[[0.1565368]]
abetment,[[0.15653795]]
abetments,[[0.15653153]]
abets,[[0.15654546]]
abetted,[[0.15663348]]
abetter,[[0.15672624]]
abetters,[[0.1566103]]
abetting,[[0.16231531]]
abettor,[[0.15653569]]
abettors,[[0.15660153]]
abeyance,[[0.1565686]]
abeyant,[[0.15653187]]
abhor,[[0.15698957]]
abhorred,[[0.15755424]]
abhorrence,[[0.15675233]]
abhorrent,[[0.15654086]]
abhorrently,[[0.15658034]]
abhorrer,[[0.15661678]]
abhorrers,[[0.15655959]]
abhorring,[[0.15654758]]
abhors,[[0.15653735]]
abidance,[[0.15662059]]
abide,[[0.15653798]]
abider,[[-0.15652725]]
abides,[[0.15670919]]
abiding,[[0.15660261]]
abidingly,[[0.15654767]]
abies,[[-0.15653095]]
abigail,[[0.15658084]]
abilities,[[0.15682444]]
ability,[[0.15668887]]
abiogenesis,[[0.15655129]]
abiogenetic,[[0.15653272]]
abiotic,[[0.1565325]]
abject,[[0.15653379]]
abjection,[[0.15663299]]
abjectly,[[0.15669671]]
abjectness,[[0.15663031]]
abjuration,[[0.16119622]]
abjurations,[[0.1565336]]
abjure,[[0.15664098]]
abjured,[[0.15656354]]
abjurer,[[0.15656117]]
abjurers,[[0.15659672]]
abjures,[[0.15669776]]
abjuring,[[0.15658492]]
abl,[[0.15653166]]
ablate,[[0.15653227]]
ablated,[[-0.15651888]]
ablating,[[-0.15652937]]
ablation,[[-0.15652791]]
ablations,[[0.15654108]]
ablative,[[0.1565323]]
ablatives,[[0.15654287]]
ablaut,[[0.1565319]]
ablaze,[[0.15721127]]
able,[[0.15667103]]
ablepsia,[[-0.15651661]]
abler,[[0.15656424]]
ablest,[[0.1576308]]
abloom,[[0.15659903]]
ablution,[[0.15656278]]
ablutions,[[0.15656731]]
ably,[[0.15779677]]
abnegate,[[0.15662512]]
abnegated,[[0.15654737]]
abnegates,[[-0.15652339]]
abnegating,[[0.15656176]]
abnegation,[[0.15695304]]
abnormal,[[0.15671551]]
abnormalities,[[0.15653229]]
abnormality,[[0.15653485]]
abnormally,[[0.15663841]]
abnormity,[[0.15653689]]
aboard,[[0.156554]]
abode,[[0.1566391]]
abodes,[[0.15666577]]
abolish,[[0.1569083]]
abolished,[[0.15653948]]
abolisher,[[0.15653276]]
abolishes,[[0.1565977]]
abolishing,[[0.15659331]]
abolishment,[[0.15661822]]
abolishments,[[0.15656117]]
abolition,[[0.15661313]]
abolitionism,[[0.15653156]]
abolitionist,[[0.15654749]]
abolitionists,[[-0.15648641]]
abomasum,[[0.15653153]]
abominable,[[0.15669769]]
abominably,[[0.15660444]]
abominate,[[0.15653583]]
abominated,[[0.15654792]]
abominates,[[0.15654485]]
abominating,[[0.15653227]]
abomination,[[0.15653957]]
abominations,[[0.15680265]]
abominator,[[-0.15652987]]
abominators,[[0.15664347]]
aboral,[[0.15653165]]
aboriginal,[[0.15656301]]
aboriginally,[[-0.15646429]]
aboriginals,[[0.1565612]]
aborigine,[[0.15659189]]
aborigines,[[0.15666063]]
aborning,[[-0.15652534]]
abort,[[0.15653306]]
aborted,[[0.15654331]]
aborticide,[[-0.15652761]]
abortifacient,[[0.15653297]]
abortifacients,[[0.15654455]]
aborting,[[-0.15649961]]
abortion,[[-0.156528]]
abortionist,[[-0.15653084]]
abortionists,[[-0.15632388]]
abortions,[[-0.15648107]]
abortive,[[0.15653561]]
abortively,[[0.15655144]]
aborts,[[0.15653186]]
aboulia,[[-0.15653148]]
abound,[[0.15676191]]
abounded,[[0.15672632]]
abounding,[[0.1565782]]
abounds,[[0.15663534]]
aboveboard,[[0.15655571]]
aboveground,[[0.15653281]]
abr,[[0.15658933]]
abracadabra,[[0.15719299]]
abradant,[[-0.15651184]]
abradants,[[0.1565319]]
abrade,[[-0.15652874]]
abraded,[[0.15653513]]
abrader,[[0.15653238]]
abraders,[[0.15653162]]
abrades,[[0.15653615]]
abrading,[[0.15653297]]
abranchiate,[[-0.15653051]]
abrasion,[[0.1565468]]
abrasions,[[0.15653998]]
abrasive,[[0.15653977]]
abrasively,[[0.15653992]]
abrasives,[[0.15653391]]
abraxas,[[0.15653978]]
abreact,[[0.15654436]]
abreacted,[[-0.15653148]]
abreacting,[[0.15655075]]
abreaction,[[-0.15653127]]
abreast,[[0.15758663]]
abri,[[0.15657228]]
abridge,[[0.15655771]]
abridged,[[0.15673864]]
abridger,[[-0.15652689]]
abridgers,[[0.1565562]]
abridges,[[0.15653501]]
abridging,[[0.15670303]]
abridgment,[[0.15654574]]
abridgments,[[0.15653531]]
abroach,[[0.15655039]]
abroad,[[0.15657532]]
abrogate,[[0.15681076]]
abrogated,[[0.15653858]]
abrogates,[[0.15653169]]
abrogating,[[0.15655825]]
abrogation,[[0.15678476]]
abrogations,[[-0.1565282]]
abrogator,[[0.15681142]]
abrupt,[[0.15667281]]
abrupter,[[0.15661962]]
abruptest,[[-0.15652984]]
abruption,[[0.15653756]]
