Word, Value
no,-0.9897584537131687
th,-0.9254511501156171
tm,-0.9895677352610448
aa,-0.9886354378077308
aah,-0.9895305445039811
aalii,-0.9897584537131687
aardvark,-0.9897327854606188
aardvarks,-0.9897572100404156
aardwolf,-0.9897562134549645
ab,-0.9824236259738699
aba,-0.9892509858124447
abaca,-0.9897493567823356
abacas,-0.9897585649024545
abacist,-0.9897568311732192
aback,-0.9847867359846482
abacus,-0.9891332775399224
abacuses,-0.9897585072487508
abaft,-0.9891622649985616
abalone,-0.9894423961090141
abalones,-0.9897802179863479
abamp,-0.9897584537131687
abandon,-0.9722718959212937
abandoned,-0.9669746942080496
abandonedly,-0.9897360099499092
abandoning,-0.9843028113856774
abandonment,-0.982199703106487
abandons,-0.9872167901817653
abas,-0.9890711474378496
abase,-0.9877254770465121
abased,-0.9871476510365609
abasement,-0.9856233941796247
abases,-0.9893226905474677
abash,-0.9883813291082942
abashed,-0.981614909234621
abashedly,-0.9897316488590299
abashes,-0.9895538901358928
abashing,-0.989610992011371
abashment,-0.9896301083322978
abasing,-0.9890320499904394
abate,-0.9836623569809279
abated,-0.9846435571294174
abatement,-0.9885184337340189
abates,-0.9888824551016017
abating,-0.9879514878015964
abatis,-0.9892841119833915
abattoir,-0.9895543101843061
abattoirs,-0.9896537504689717
abaxial,-0.9897589314152857
abb,-0.9895884288225822
abba,-0.987841715149588
abbacies,-0.9896461648888022
abbacy,-0.9895203150896809
abbatial,-0.98953061451205
abbe,-0.9679379434640533
abbes,-0.9890384371971945
abbess,-0.9806155440513172
abbesses,-0.9893005268164837
abbey,-0.9649263940105511
abbeys,-0.9877945708923779
abbot,-0.9682801799678483
abbots,-0.987122625210996
abbr,-0.9897467870743955
abbrev,-0.9897363805808621
abbreviate,-0.9893798994941102
abbreviated,-0.9881756783468898
abbreviates,-0.9896746087553772
abbreviating,-0.9896006390534198
abbreviation,-0.9884905705226035
abbreviations,-0.9889093670269046
abbreviator,-0.9897453827948961
abbrevs,-0.9897584166500734
abdicate,-0.988215801206603
abdicated,-0.9886395435750647
abdicates,-0.9894110489666413
abdicating,-0.9894601905128755
abdication,-0.9874267320259802
abdications,-0.9896762354134482
abdicator,-0.9896698852697884
abdicators,-0.989758449595047
abdomen,-0.9882140427686376
abdomens,-0.9896083275866318
abdominal,-0.9896870496010298
abdominally,-0.9897553115863124
abdominous,-0.9897710181024723
abduce,-0.9897629465839423
abduced,-0.9897586431467669
abducent,-0.9897482201807467
abducing,-0.989758832580365
abduct,-0.9891613796023964
abducted,-0.988832526994123
abducting,-0.9894074826732501
abduction,-0.9875418005824935
abductions,-0.9896570902656696
abductor,-0.9892182796899114
abductors,-0.9892616435114018
abducts,-0.989683215629728
abeam,-0.9891054349191155
abecedarian,-0.9897310640857486
abecedarians,-0.9896928149714084
abecedarium,-0.9897482654800853
abecedary,-0.9897357587444855
abed,-0.9867703940258375
abele,-0.9896963812647998
abeles,-0.9895807238168834
abelmosk,-0.9897584537131687
aberrance,-0.989761212854707
aberrancies,-0.9897602245054993
aberrancy,-0.9897505016201679
